question,answer
"как подготовить пластиковые бутылки к сдаче","Ополосните бутылки от остатков напитка, снимите термоусадочную плёнку, смните бутылку."
"сколько раз можно переработать ПЭТ-бутылки","ПЭТ-бутылки можно перерабатывать до 35 раз."
"как подготовить макулатуру к сдаче","Убедитесь, что бумага чистая и сухая, удалите небумажные элементы (пружины, пластиковые окошки)."
"можно ли перерабатывать стекло бесконечно","Да, стекло можно перерабатывать бесконечное число раз без потери качества."
"что делают из переработанных бутылок","Из переработанных бутылок делают новую тару, одежду, утеплители, хозяйственные принадлежности."
"почему нельзя выбрасывать батарейки","Батарейки содержат токсичные вещества, которые загрязняют почву и воду."
"как подготовить стеклянные банки","Промойте банки, снимите металлические крышки (их можно сдать отдельно)."
"что относится к опасным отходам","Лампочки, ртутные градусники, батарейки, электронику, шины."
"можно ли сдавать чеки с макулатурой","Нет, чеки печатают на термобумаге с токсичным бисфенолом А, их нужно сдавать отдельно."
"куда сдать одежду","Одежду можно сдать в благотворительные организации или специальные контейнеры для текстиля."
"как подготовить флаконы от косметики","Ополосните флаконы, снимите дозаторы, удалите термоусадочные этикетки."
"почему важно перерабатывать бумагу","1 тонна переработанной бумаги сохраняет 17 деревьев и экономит 4000 кВт электроэнергии."
"что делать с блистерами от лекарств","Блистеры нужно сдавать в специализированные пункты, где их разделяют на пластик и алюминий."
"можно ли перерабатывать пластиковые карты","Да, но их принимают только в специализированных пунктах из-за сложного состава."
"как сократить отходы от контактных линз","Используйте линзы с большим сроком ношения, сдавайте упаковку на переработку."
"что делать с электронными сигаретами","Электронные сигареты можно сдать в контейнеры для батареек или специализированные пункты."  
"можно ли сдавать пластиковые бутылки с этикетками","Да, этикетки можно оставить, но термоусадочную плёнку нужно снять."  
"почему ПЭТ-бутылки нужно сминать","Сжатые бутылки занимают меньше места при хранении и транспортировке."  
"можно ли сдавать тетрапак с макулатурой","Нет, тетрапак — многослойная упаковка, его сдают отдельно."  
"как перерабатывают алюминиевые банки","Их переплавляют, экономя 95% энергии по сравнению с производством нового алюминия."  
"почему стекло не вредит природе","Стекло делают из песка и соды, но осколки опасны для животных и могут вызвать пожар."  
"что делать с испорченными продуктами","Лучше компостировать, но если нет возможности — выбрасывать в смешанные отходы."  
"можно ли сдавать лампочки накаливания","Да, но их не перерабатывают — можно выбросить в обычный мусор."  
"почему нельзя сжигать пластик","При горении пластик выделяет токсичные вещества (диоксины, бензапирен)."  
"как перерабатывают бумагу","Бумагу измельчают, очищают от примесей и превращают в новую целлюлозу."  
"почему важно снимать крышки с бутылок","Крышки делают из другого пластика/металла, их перерабатывают отдельно."  
"можно ли сдавать блистеры от таблеток","Да, но только в специализированные пункты, где их разделяют на пластик и фольгу."  
"что делать с упаковкой от яиц (пульперкартон)","Пульперкартон не принимают с макулатурой — его можно компостировать или выбросить."  
"почему энергосберегающие лампы опасны","Они содержат ртуть, поэтому их нельзя выбрасывать с обычным мусором."  
"можно ли сдавать зеркала со стеклом","Нет, зеркала имеют отражающее покрытие, их сдают отдельно или выбрасывают."  
"что делать с использованными батарейками","Их нужно сдавать в специальные контейнеры в магазинах или экоцентрах."  
"почему алюминиевые банки ценны","Они на 100% перерабатываются и экономят ресурсы при производстве новой тары."  
"можно ли сдавать грязную макулатуру","Нет, загрязнённая бумага не подходит для переработки — лучше выбросить."  
"почему важно мыть тару перед сдачей","Остатки продуктов загрязняют вторсырьё и усложняют переработку." 
"Можно ли сдавать пластиковые контейнеры от еды?","Да, если они имеют маркировку 1 (PET), 2 (HDPE) или 5 (PP), предварительно вымытые."
"Как подготовить жестяные банки к сдаче?","Промойте, удалите остатки пищи, по возможности сплющите для экономии места."
"Принимают ли на переработку зубные щетки?","Обычные зубные щетки не перерабатывают, но некоторые бренды имеют программы приема."
"Можно ли перерабатывать фольгированную упаковку?","Только чистую алюминиевую фольгу без пластикового слоя."
"Как утилизировать лампы накаливания?","Их можно выбрасывать с обычным мусором, так как они не содержат опасных веществ."
"Принимают ли на переработку пакеты из-под молока?","Да, это тетрапак, который сдают в специальные пункты приема."
"Что делать с испорченными CD-дисками?","Их можно сдать в специализированные пункты приема электронных отходов."
"Можно ли сдавать на переработку бумажные стаканчики?","Нет, из-за пластикового покрытия внутри они не подлежат переработке с бумагой."
"Как подготовить стеклянные бутылки к сдаче?","Промыть, снять крышки и кольца, этикетки можно оставить."
"Можно ли перерабатывать упаковку от чипсов?","Нет, такая многослойная упаковка не подлежит переработке."
"Как утилизировать старые кастрюли?","Металлические можно сдать в пункты приема металлолома."
"Принимают ли на переработку воздушно-пузырчатую пленку?","Да, в некоторых пунктах приема мягкого пластика."
"Что делать с битым стеклом?","Упаковать в плотный пакет и сдать в пункт приема стеклотары."
"Можно ли сдавать картонные коробки из-под пиццы?","Только если они чистые, без следов жира и пищи."
"Как подготовить аэрозольные баллончики к сдаче?","Убедитесь, что они полностью пустые, не прокалывайте и не сжимайте."
"Принимают ли на переработку пластиковые вешалки?","Зависит от типа пластика - уточняйте в местных пунктах приема."
"Что делать с вощеной бумагой?","Она не подлежит переработке, только компостированию или утилизации."
"Можно ли сдавать пластиковые карточки?","Да, но только в специализированные пункты приема."
"Как утилизировать старые полотенца?","Чистые можно отдать в приюты для животных, сильно изношенные - выбросить."
"Принимают ли на переработку флаконы от духов?","Стеклянные - да, пластиковые - зависит от маркировки."
"Что делать с пластиковыми трубочками?","Они практически не перерабатываются, лучше отказаться от использования."
"Можно ли сдавать на переработку бумажные салфетки?","Нет, использованные салфетки относятся к смешанным отходам."
"Как подготовить пластиковые канистры к сдаче?","Тщательно промыть, снять этикетки если возможно, сжать."
"Принимают ли на переработку фольгированные обертки?","Нет, такая упаковка не подлежит переработке."
"Что делать с деревянными изделиями?","Чистую древесину можно сдать на переработку или использовать как дрова."
"Можно ли сдавать на переработку пластиковые игрушки?","Обычно нет, но некоторые производители имеют программы приема."
"Как утилизировать старые зонты?","Металлические детали - в металлолом, ткань - в текстильные контейнеры."
"Принимают ли на переработку пробки от вина?","Натуральные пробки - да, в специальных пунктах приема."
"Что делать с пластиковыми пакетами с застежкой zip-lock?","Их можно сдать в пункты приема мягкого пластика, предварительно вымыв."
"Можно ли сдавать на переработку бумажные пакеты?","Да, если они чистые и без пластиковых элементов."
"Как подготовить металлические банки от краски?","Полностью очистить от остатков, снять крышки, сдать в металлолом."
"Принимают ли на переработку пластиковые цветочные горшки?","Да, если они имеют маркировку 2 (HDPE) или 5 (PP)."
"Что делать с вощеными картонными коробками?","Они не подлежат переработке, только компостированию или утилизации."
"Можно ли сдавать на переработку пластиковые ведра?","Да, если они чистые и имеют маркировку 2 (HDPE) или 5 (PP)."
"Как утилизировать старые резиновые изделия?","Резину принимают в специализированных пунктах или на переработку покрышек."
"Принимают ли на переработку бумажные обои?","Нет, они содержат различные покрытия и не подлежат переработке."
"Что делать с пластиковыми подложками от продуктов?","Чистые подложки из PP (5) можно сдать в пункты приема пластика."
"Можно ли сдавать на переработку флаконы от шампуня?","Да, если они имеют маркировку 1 (PET) или 2 (HDPE), предварительно вымытые."
"Как подготовить стеклянные банки от детского питания?","Промыть, снять крышки и резинки, этикетки можно оставить."
"Принимают ли на переработку пластиковые бидоны?","Да, если они чистые и имеют маркировку 2 (HDPE) или 5 (PP)."
"Что делать с бумажными стаканчиками от кофе?","Они не подлежат переработке из-за пластикового покрытия. В России есть завод, который занимается переработкой бумажных стаканчиков — АО «СОЭМЗ» (Солнечногорский опытно-экспериментальный механический завод). На выходе получается сухое бумажное волокно и пластиковая плёнка, которые также подлежат вторичной переработке.Также можно рассмотреть альтернативу бумажным стаканчикам, например, многоразовую термокружку или тамблер."
"Можно ли сдавать на переработку пластиковые ящики?","Да, если они чистые и имеют маркировку 2 (HDPE) или 5 (PP)."
"Как утилизировать старые виниловые пластинки?","Их можно сдать в специализированные пункты приема или магазины винила."
"Принимают ли на переработку бумажные упаковки от яиц?","Да, если они сделаны из пульперкартона (можно компостировать)."
"Что делать с пластиковыми подставками под горячее?","Если они имеют маркировку 5 (PP), можно сдать в пункты приема пластика."
"Можно ли сдавать на переработку пластиковые канистры от масла?","Да, если они тщательно вымыты и имеют маркировку 2 (HDPE)."
"Что означает маркировка PET (1) на пластике?","Это полиэтилентерефталат - используется для бутылок, может перерабатываться до 35 раз."
"Какие виды пластика наиболее безопасны для переработки?","PET (1), HDPE (2) и PP (5) - самые распространенные и легко перерабатываемые."
"Что означает треугольник из стрелок на упаковке?","Это знак рециклинга, но не гарантия переработки - нужно смотреть цифру внутри."
"Какой пластик нельзя перерабатывать?","PVC (3), PS (6) и OTHER (7) - сложны для переработки или не перерабатываются вообще."
"Что такое компостируемые отходы?","Органические отходы, которые разлагаются в компосте (пищевые отходы, бумага без покрытия)."
"Чем опасны батарейки на свалке?","Они выделяют тяжелые металлы (свинец, кадмий, ртуть), загрязняющие почву и воду."
"Что означает маркировка ALU на упаковке?","Это алюминий, который можно перерабатывать бесконечно без потери качества."
"Почему важно разделять стекло по цветам?","Разные цвета стекла имеют разный состав и перерабатываются отдельно."
"Что такое тетрапак?","Многослойная упаковка из картона, алюминия и полиэтилена, требует специальной переработки."
"Чем опасны люминесцентные лампы?","Содержат ртуть - 1 лампа может загрязнить 20 куб.м воздуха или 400 л воды."
"Что означает маркировка FE на металле?","Это железо (сталь), которое легко перерабатывается магнитной сепарацией."
"Почему алюминиевые банки ценны для переработки?","Переплавка алюминия экономит 95% энергии по сравнению с производством нового."
"Что такое опасные отходы?","Отходы, содержащие токсичные вещества (батарейки, лампы, техника, химикаты)."
"Как определить, что пластик пищевой?","Ищите значок бокала и вилки или надпись "для пищевых продуктов"."
"Что такое флекс в переработке пластика?","Измельченные пластиковые хлопья - промежуточный продукт переработки."
"Почему нельзя сжигать пластик?","При горении выделяются диоксины и другие токсичные вещества."
"Что такое downcycling?","Переработка с понижением качества (например, пластиковые бутылки в синтепон)."
"Чем отличается HDPE от LDPE?","HDPE (2) - жесткий пластик, LDPE (4) - мягкий; оба перерабатываются, но раздельно."
"Что такое биопластик?","Пластик из растительного сырья, но не всегда биоразлагаемый - смотрите маркировку."
"Как определить, что бумага ламинирована?","При разрыве будет видна пластиковая пленка или слой будет тянуться."
"Что означает маркировка C/LDPE?","Смесь целлюлозы и полиэтилена (например, дойпаки), сложна для переработки."
"Почему ПЭТ нельзя использовать повторно для пищевых продуктов?","При повторном нагреве может выделять вредные вещества."
"Что такое гранулят в переработке?","Расплавленный и нарезанный пластик в виде гранул для нового производства."
"Чем опасен микропластик?","Не разлагается, накапливается в организме и окружающей среде."
"Что такое zero waste?","Концепция минимизации отходов через reuse, reduce, recycle."
"Как работает фандомат?","Автомат принимает тару (бутылки, банки), определяет тип и выдает вознаграждение."
"Что такое расширенная ответственность производителя?","Обязанность производителей утилизировать упаковку своих товаров."
"Почему важно сдавать технику отдельно?","Она содержит ценные металлы и опасные вещества, требующие специальной утилизации."
"Что такое промышленный компостинг?","Ускоренное компостирование при высоких температурах на специальных предприятиях."
"Чем отличается переработка от утилизации?","Переработка - получение нового сырья, утилизация - безопасное уничтожение."
"Что такое вторичные материальные ресурсы?","Отходы, пригодные для переработки (бумага, стекло, металл, некоторые пластики)."
"Почему черный пластик не перерабатывают?","Черный краситель мешает оптическим сортировщикам распознать тип пластика."
"Что такое депонирование отходов?","Захоронение на полигонах - наименее предпочтительный способ обращения с отходами."
"Как работает система залоговой тары?","Покупатель платит залог за тару, который возвращается при сдаче."
"Что такое углеродный след отходов?","Количество парниковых газов, выделяемых при производстве и утилизации товара."
"Почему важно экономить бумагу?","Для 1 тонны бумаги нужно 17 деревьев и 32 000 литров воды."
"Что такое рециклинг?","Процесс переработки отходов во вторичное сырье."
"Как определить, что упаковка биоразлагаемая?","Ищите маркировки: OK compost, Seedling или ГОСТ Р 54530-2011."
"Что такое экологический сбор?","Платеж производителей за утилизацию упаковки, который идет на развитие переработки."
"Почему нельзя смешивать разные виды пластика?","Разные типы пластика имеют разную температуру плавления и несовместимы."
"Что такое КПО в переработке?","Комплекс по переработке отходов - современная альтернатива свалкам."
"Как работает система пневмомусоропровода?","Отходы всасываются по подземным трубам на сортировочную станцию."
"Что такое RDF-топливо?","Топливо из отходов, которое сжигают на цементных заводах."
"Почему важно сдавать одежду отдельно?","Текстиль разлагается 200+ лет, а 95% можно переработать или использовать повторно."
"Что такое greenwashing?","Введение в заблуждение об экологичности продукта без реальных оснований."
"Как определить экологичную упаковку?","Ищите маркировки FSC (ответственная лесозаготовка), экомаркировки I типа."
"Что такое циклическая экономика?","Модель экономики, где отходы становятся ресурсом для нового производства."
"Почему важно снимать пробки с бутылок?","Пробки делают из другого материала, который перерабатывается отдельно."
"Что такое жизненный цикл продукта?","Все этапы от добычи сырья до утилизации, учитывающие экологическое воздействие."
"Как работает система EPR?","Extended Producer Responsibility - ответственность производителя за утилизацию своей продукции."
"Что такое экослед товара?","Мера воздействия товара на окружающую среду на всех этапах его жизненного цикла."
"Почему важно сокращать отходы?","Снижает нагрузку на полигоны, экономит ресурсы и уменьшает загрязнение."
"Что такое устойчивое потребление?","Осознанное потребление с учетом экологических и социальных последствий."
"Как определить действительно экологичный продукт?","По наличию независимых экомаркировок (ЕС Ecolabel, Листок жизни и др.)."
"Что такое принцип 3R?","Reduce (сокращение), Reuse (повторное использование), Recycle (переработка)."
"Почему важно участвовать в раздельном сборе?","Это увеличивает процент переработки и снижает объемы захоронения отходов."
"Что такое углеродная нейтральность?","Баланс между выбросами углерода и их поглощением из атмосферы."
"Как работает система возвратной тары?","Многоразовая тара возвращается производителю для повторного использования."
"Что такое экологический менеджмент?","Система управления предприятием, направленная на снижение экологического вреда."
"Правда ли, что переработка одной алюминиевой банки экономит энергию для работы телевизора 3 часа?","Да! Переработка алюминия экономит 95% энергии по сравнению с производством нового."
"Сколько лет разлагается пластиковая бутылка?","450–500 лет, но переработка превращает её в новую вещь за 2 месяца!"
"Почему океан называют «пластиковым супом»?","Из-за 5 триллионов пластиковых частиц, плавающих в воде — это в 500 раз больше, чем звёзд в Млечном Пути."
"Могут ли черви есть пластик?","Да! Учёные обнаружили бактерии и мучных червей, которые разлагают пластик на безопасные вещества."
"Зачем мне сортировать мусор, если другие не делают этого?","Каждый, кто сортирует отходы, сокращает свалки на 30–50%. Ваш пример вдохновит других!"
"Почему раздельный сбор — это не сложно?","Это как научиться чистить зубы: первые 2 недели непривычно, потом — легко и даже приятно!"
"Что я теряю, если не сортирую мусор?","Деньги (налоги на свалки растут), здоровье (токсины с полигонов попадают в воздух) и будущее планеты."
"Правда ли, что экопривычки делают людей счастливее?","Да! Исследования показывают: осознанность снижает тревожность и даёт чувство вклада в общее дело."
"Куда деть старую зубную щётку?","Сделайте из неё щётку для чистки обуви или кисточку для рисования!"
"Как использовать пустые тетрапаки?","Разрежьте — получится горшок для рассады или кормушка для птиц."
"Что делать с битыми зеркалами?","Из осколков можно сделать мозаику или сдать в пункт приёма стекла (упаковав в картон)."
"Как дать вторую жизнь капроновым колготкам?","Используйте как фильтр для воды в походе или материал для вязания (капрон не рвётся!)."
"Правда ли, что весь собранный пластик сжигают?","Нет! В Европе перерабатывают 40% пластика, в России — пока 12%, но цифры растут благодаря раздельному сбору."
"Будут ли перерабатывать мой мусор, если я его рассортирую?","Да! Если вымыть и правильно сдать — 90% отходов станут новыми вещами. Например, 25 бутылок = 1 флисовая куртка."
"Разве свалки не решают проблему?","Нет. 1 га свалки отравляет 10 га земли вокруг. А переработка создаёт рабочие места и экономит ресурсы."
"Какие страны лидируют в переработке?","Швеция (99% отходов перерабатывают), Германия (68%), Южная Корея (59%). Россия — на 45-м месте, но мы можем улучшить статистику!"
"Кто делает крутые вещи из мусора?","Бренд Adidas — кроссовки из океанского пластика, IKEA — мебель из переработанного дерева."
"Как дети меняют мир?","Школьник из Индии придумал как делать кирпичи из пластика — теперь его дома спасают людей от наводнений."
"Что будет, если все начнут сортировать мусор?","Свалки сократятся на 80%, воздух станет чище, а нефти хватит на 100+ лет дольше."
"Почему Земля — это космический корабль?","У нас нет «запасной планеты» — все ресурсы ограничены, а переработка продлевает жизнь корабля."
"Как мусор связан с войнами?","Борьба за нефть (сырьё для пластика) и чистую воду будет обостряться, если не сокращать отходы."
"Можно ли построить дом из мусора?","Да! В Японии есть остров из переработанных отходов, где живут 1.5 млн человек."
"Что сказала бы бутылка, если бы могла говорить?","«Не бросай меня! Я могу стать твоей новой футболкой»."
"Как объяснить коту, что мусор надо сортировать?","Коту — сложно. Но если вы будете делать это, он скопирует вашу привычку (проверено!)."
"Что такое «пластиковые дороги»?","В Индии и Голландии строят дороги из переработанного пластика — они прочнее асфальта и не трескаются."
"Как ИИ помогает переработке?","Роботы-сортировщики с искусственным интеллектом разбирают мусор в 10 раз быстрее людей."
"Будут ли батарейки из грибов?","Уже тестируют! Мицелий разлагает токсины в батарейках — возможно, скоро они станут экологичными."
"Знаете ли вы, что...","Из 400 алюминиевых банок можно сделать детский велосипед!"
"Интересный факт о стекле","Переработанное стекло плавится при более низкой температуре, экономя энергию"
"Что необычного можно сделать из пластиковых бутылок?","Из 25 бутылок можно сделать флисовую куртку"
"Правда ли, что...","Старые джинсы могут стать утеплителем для дома - да, это технология деним-изоляции!"
"Как дать вторую жизнь CD-дискам?","Их можно превратить в светоотражатели для велосипедов или мозаику"
"Что сделать из старой стиральной машины?","Барабан может стать оригинальным столиком или камином"
"Идея для винных пробок","Из них получаются отличные подставки под горячее или доска для заметок"
"Как использовать старые газеты?","Их можно превратить в экологичную упаковку для подарков"
"Когда появилась первая программа переработки?","Еще в 1031 году в Японии перерабатывали бумагу"
"Как боролись с мусором в Древнем Риме?","Организовывали специальные свалки за городом и повторно использовали амфоры"
"Когда изобрели пластик?","Первый искусственный пластик создали в 1855 году"
"Какие новые технологии переработки появились?","Ученые создали ферменты, которые полностью разлагают пластик за 24 часа"
"Что такое химическая переработка?","Это процесс превращения пластика обратно в нефть для нового производства"
"Как грибы помогают переработке?","Некоторые виды грибов могут разлагать пластик и очищать почву"
"Как мусор влияет на океаны?","Каждую минуту в океан попадает мусоровоз пластика"
"Что такое Большое тихоокеанское мусорное пятно?","Это скопление мусора площадью в 3 Франции, плавающее в океане"
"Как отходы влияют на климат?","Свалки производят 20% мировых выбросов метана"
"Как мой выбор влияет на планету?","Сортируя отходы 1 год, вы спасаете 10 кв.м земли от свалки"
"Почему стоит начать сегодня?","Каждая переработанная бутылка - это на 25% меньше нефти в мире"
"Как объяснить детям важность переработки?","Скажите: 'Это как Лего - из старых деталей можно построить что-то новое!'"
"Что такое экономика замкнутого цикла?","Это система, где отходы становятся ресурсом для нового производства"
"Какие профессии появятся в переработке?","Дизайнеры экопродукции, инженеры по переработке, экологичные технологи"
"Как будет выглядеть переработка в 2050 году?","Умные контейнеры с ИИ будут автоматически сортировать наши отходы"
"Можно ли переработать воздушные шары?","Нет, они очень опасны для животных - лучше использовать бумажные гирлянды"
"Что делать с использованными салфетками?","Их нельзя переработать, но можно компостировать (если нет синтетических волокон)"
"Как утилизировать старые фотографии?","Их нельзя переработать с бумагой - лучше отправить в специальные пункты приема"
"Как перерабатывают в Арктике?","Там используют специальные установки, прессующие мусор для дальнейшего вывоза"
"Что делает Швеция с мусором?","Импортирует отходы из других стран для своих мусоросжигательных заводов"
"Как в Японии сортируют отходы?","Некоторые города требуют разделения на 10+ категорий"
"Кто создает искусство из мусора?","Художники like Artur Bordalo делают огромные скульптуры из отходов"
"Как проводят модные показы из вторсырья?","Дизайнеры создают коллекции из переработанных материалов"
"Что такое трэш-арт?","Это направление искусства, где произведения создают из отходов"
"Как дроны помогают переработке?","Они обследуют свалки и находят пригодные для переработки материалы"
"Что такое умные мусорные баки?","Они взвешивают отходы и сообщают, когда заполнены"
"Как блокчейн используется в переработке?","Для отслеживания цепочки переработки материалов"
"Почему мы называем это 'мусором'?","Потому что не видим ценности в использованных материалах"
"Что важнее - переработка или сокращение отходов?","Сокращение - но переработка нужна для того, что уже произведено"
"Как изменится мир, если все начнут перерабатывать?","Мы сократим свалки на 75% и сохраним ресурсы для будущих поколений"
"Какой закон регулирует обращение с отходами производства и потребления в РФ?","Федеральный закон от 24.06.1998 N 89-ФЗ «Об отходах производства и потребления»."
"Какие основные понятия используются в Федеральном законе об отходах?","Отходы производства и потребления, обращение с отходами, размещение отходов, утилизация, обезвреживание и другие."
"Какие классы опасности отходов установлены законом?","I класс — чрезвычайно опасные, II класс — высокоопасные, III класс — умеренно опасные, IV класс — малоопасные, V класс — практически неопасные."
"Какие принципы государственной политики в области обращения с отходами?","Охрана здоровья человека, поддержание благоприятной окружающей среды, использование наилучших доступных технологий."
"Какие направления государственной политики являются приоритетными?","Максимальное использование сырья, предотвращение образования отходов, сокращение их количества, обработка, утилизация, обезвреживание."
"Кто определяет право собственности на отходы?","Право собственности определяется в соответствии с гражданским законодательством."
"Какие полномочия имеет РФ в области обращения с отходами?","Разработка законов, проведение государственной политики, лицензирование деятельности, установление нормативов."
"Какие полномочия имеют субъекты РФ в области обращения с отходами?","Разработка региональных программ, государственный надзор, установление нормативов образования отходов."
