name,city,address,accepts,work_hours,phone_number,website
"Седьмой лепесток","Воронеж","Коминтерновский район, Владимира Невского, 15/1","Бутылки: зелёные, коричневые, голубые, прозрачные объёмом до 5л, Флаконы (бутылочного типа) из-под напитков, моющих средств, косметики, соусов и т.п. зелёные, коричневые, голубые, прозрачные, БЕЛЫЙ МАТОВЫЙ ПЭТ (бутылки, флаконы), Упаковочную, тепличную (хозяйственную), Пупырчатую, Стрейч-плёнку, Пакеты с маркировкой 2HDPE/PEHD (тонкие, шуршащие) фасовочные, пакеты из супермаркетов, прозрачные и цветные, Пакеты, упаковочную плёнку с маркировкой 4LDPE/04PE-LD (плотные, тянутся), Флаконы ПНД. Маркировка 2 HDPE (или 2, ПЭ, ПНД, PEND), чистые, без остатков средств, на дне имеется продольный шов, Алюминиевые банки из-под напитков, Упаковку из-под кормов для животных и консервов с маркировкой 41 ALU не путать с жестяными (у тех маркировка Fe 40), Жестяные банки, крышки от консервации, от детского питания, напитков, Стеклянные банки и бутылки зелёного и коричневого цветов, прозрачные, Целые, объемом до 5 л. Можно сдавать ёмкости из-под лекарств, офисную бумагу, газеты, каталоги, журналы, листовки, брошюры, упаковку бумажную и картонную, блокноты (без пружины), конверты, книги без обложек, тетради и т.п., коробки от посылок, мебели, бытовой техники и т.п., Книги с обложками - увязанные или уложенные в коробки, пакеты, мешки, Архив - бумага в файлах, со скрепками), тары из-под яиц, подстаканники, лотки, ёмкости для рассады, вставки для упаковки хрупких товаров любых цветов, Упаковку Tetra Pak, Pure Pac, Tralin Pak, Комбибло и др. или при наличии маркировки 81, 82, 84, Кувшины Ecolean из-под молочной продукции, сока, Мобильные устройства: Кнопочные телефоны, планшеты, смартфоны, Компьютерную технику: моноблоки, ноутбуки, ноутбуки трансформеры, серверы, системные блоки, ультрабуки, Компьютерную технику (мониторы, блоки питания, принтеры, мыши, наушники), Моб.устройства, телефонию (зарядные устройства, портативные колонки, фитнес-браслеты), Аудио-видео технику (кинопроекторы, Blu-Ray, DVD, MP3-проигрыватели, магнитолы, телевизоры, пульты), Торговое эл.оборудование (кассовый аппарат, ручной сканер штрихкода, электронные весы), Эл. инструмент (УШМ, лобзики, перфораторы, циркулярные пилы,сварочные аппараты), Косметические приборы (электробритвы, фены, тонометры, эл.зубные щетки, ингаляторы), Бытовую технику (утюги, мультиварки и пылесосы, тостеры, блендеры, вентиляторы, швейные машины), Фото-видео (камеры, цифровые фотоаппараты, видеонаблюдение, экшн-камеры, провода, кабели) Авт.эл.приборы (GPS-навигаторы, автомагнитолы, радары, парктроники), Видеокарты, материнские платы, миксовые платы, Батарейки Не более 10 шт. от одного человека, чистую крафт-бумагу, пакеты, тубусы, втулки, текстиль: чистую, без запаха одежду, пластиковые карты в цельном или разрезанном виде","Ежедневно с 08:00 до 22:00","8-960-135-17-00","https://vk.com/ecopunkt_7l"
"Седьмой лепесток","Воронеж","Ленинский район, Моисеева, 57/3","Бутылки: зелёные, коричневые, голубые, прозрачные объёмом до 5л, Флаконы (бутылочного типа) из-под напитков, моющих средств, косметики, соусов и т.п. зелёные, коричневые, голубые, прозрачные, БЕЛЫЙ МАТОВЫЙ ПЭТ (бутылки, флаконы), Упаковочную, тепличную (хозяйственную), Пупырчатую, Стрейч-плёнку, Пакеты с маркировкой 2HDPE/PEHD (тонкие, шуршащие) фасовочные, пакеты из супермаркетов, прозрачные и цветные, Пакеты, упаковочную плёнку с маркировкой 4LDPE/04PE-LD (плотные, тянутся), Флаконы ПНД. Маркировка 2 HDPE (или 2, ПЭ, ПНД, PEND), чистые, без остатков средств, на дне имеется продольный шов, Алюминиевые банки из-под напитков, Упаковку из-под кормов для животных и консервов с маркировкой 41 ALU не путать с жестяными (у тех маркировка Fe 40), Жестяные банки, крышки от консервации, от детского питания, напитков, Стеклянные банки и бутылки зелёного и коричневого цветов, прозрачные, Целые, объемом до 5 л. Можно сдавать ёмкости из-под лекарств, офисную бумагу, газеты, каталоги, журналы, листовки, брошюры, упаковку бумажную и картонную, блокноты (без пружины), конверты, книги без обложек, тетради и т.п., коробки от посылок, мебели, бытовой техники и т.п., Книги с обложками - увязанные или уложенные в коробки, пакеты, мешки, Архив - бумага в файлах, со скрепками), тары из-под яиц, подстаканники, лотки, ёмкости для рассады, вставки для упаковки хрупких товаров любых цветов, Упаковку Tetra Pak, Pure Pac, Tralin Pak, Комбибло и др. или при наличии маркировки 81, 82, 84, Кувшины Ecolean из-под молочной продукции, сока, Мобильные устройства: Кнопочные телефоны, планшеты, смартфоны, Компьютерную технику: моноблоки, ноутбуки, ноутбуки трансформеры, серверы, системные блоки, ультрабуки, Компьютерную технику (мониторы, блоки питания, принтеры, мыши, наушники), Моб.устройства, телефонию (зарядные устройства, портативные колонки, фитнес-браслеты), Аудио-видео технику (кинопроекторы, Blu-Ray, DVD, MP3-проигрыватели, магнитолы, телевизоры, пульты), Торговое эл.оборудование (кассовый аппарат, ручной сканер штрихкода, электронные весы), Эл. инструмент (УШМ, лобзики, перфораторы, циркулярные пилы,сварочные аппараты), Косметические приборы (электробритвы, фены, тонометры, эл.зубные щетки, ингаляторы), Бытовую технику (утюги, мультиварки и пылесосы, тостеры, блендеры, вентиляторы, швейные машины), Фото-видео (камеры, цифровые фотоаппараты, видеонаблюдение, экшн-камеры, провода, кабели) Авт.эл.приборы (GPS-навигаторы, автомагнитолы, радары, парктроники), Видеокарты, материнские платы, миксовые платы, Батарейки Не более 10 шт. от одного человека, чистую крафт-бумагу, пакеты, тубусы, втулки, текстиль: чистую, без запаха одежду, пластиковые карты в цельном или разрезанном виде","Ежедневно с 08:00 до 22:00","8-960-135-17-00","https://vk.com/ecopunkt_7l"
"Седьмой лепесток","Воронеж","Автодорожная улица, 11/1парковка строительного гипермаркета Леруа Мерлен","Бутылки: зелёные, коричневые, голубые, прозрачные объёмом до 5л, Флаконы (бутылочного типа) из-под напитков, моющих средств, косметики, соусов и т.п. зелёные, коричневые, голубые, прозрачные, БЕЛЫЙ МАТОВЫЙ ПЭТ (бутылки, флаконы), Упаковочную, тепличную (хозяйственную), Пупырчатую, Стрейч-плёнку, Пакеты с маркировкой 2HDPE/PEHD (тонкие, шуршащие) фасовочные, пакеты из супермаркетов, прозрачные и цветные, Пакеты, упаковочную плёнку с маркировкой 4LDPE/04PE-LD (плотные, тянутся), Флаконы ПНД. Маркировка 2 HDPE (или 2, ПЭ, ПНД, PEND), чистые, без остатков средств, на дне имеется продольный шов, Алюминиевые банки из-под напитков, Упаковку из-под кормов для животных и консервов с маркировкой 41 ALU не путать с жестяными (у тех маркировка Fe 40), Жестяные банки, крышки от консервации, от детского питания, напитков, Стеклянные банки и бутылки зелёного и коричневого цветов, прозрачные, Целые, объемом до 5 л. Можно сдавать ёмкости из-под лекарств, офисную бумагу, газеты, каталоги, журналы, листовки, брошюры, упаковку бумажную и картонную, блокноты (без пружины), конверты, книги без обложек, тетради и т.п., коробки от посылок, мебели, бытовой техники и т.п., Книги с обложками - увязанные или уложенные в коробки, пакеты, мешки, Архив - бумага в файлах, со скрепками), тары из-под яиц, подстаканники, лотки, ёмкости для рассады, вставки для упаковки хрупких товаров любых цветов, Упаковку Tetra Pak, Pure Pac, Tralin Pak, Комбибло и др. или при наличии маркировки 81, 82, 84, Кувшины Ecolean из-под молочной продукции, сока, Мобильные устройства: Кнопочные телефоны, планшеты, смартфоны, Компьютерную технику: моноблоки, ноутбуки, ноутбуки трансформеры, серверы, системные блоки, ультрабуки, Компьютерную технику (мониторы, блоки питания, принтеры, мыши, наушники), Моб.устройства, телефонию (зарядные устройства, портативные колонки, фитнес-браслеты), Аудио-видео технику (кинопроекторы, Blu-Ray, DVD, MP3-проигрыватели, магнитолы, телевизоры, пульты), Торговое эл.оборудование (кассовый аппарат, ручной сканер штрихкода, электронные весы), Эл. инструмент (УШМ, лобзики, перфораторы, циркулярные пилы,сварочные аппараты), Косметические приборы (электробритвы, фены, тонометры, эл.зубные щетки, ингаляторы), Бытовую технику (утюги, мультиварки и пылесосы, тостеры, блендеры, вентиляторы, швейные машины), Фото-видео (камеры, цифровые фотоаппараты, видеонаблюдение, экшн-камеры, провода, кабели) Авт.эл.приборы (GPS-навигаторы, автомагнитолы, радары, парктроники), Видеокарты, материнские платы, миксовые платы, Батарейки Не более 10 шт. от одного человека, чистую крафт-бумагу, пакеты, тубусы, втулки, текстиль: чистую, без запаха одежду, пластиковые карты в цельном или разрезанном виде","Ежедневно с 08:00 до 22:00","8-960-135-17-00","https://vk.com/ecopunkt_7l"
"Агат","Воронеж","Дорожная, 36/7","Пункт приема металлолома","Пн — Пт 08:00–18:00; Суббота 08:00–14:00; Воскресенье Выходной","8 (473) 259-10-00","сайт не найден"
"Пункт приема макулатуры","Воронеж","Коминтерновский район, Солнечная улица,д. 17/4","Макулатура","Пн — Пт 09:00–17:00,Сб — Вс Выходной","8-951-865-74-50","сайт не найден"
"Экосервис","Воронеж","Ленинский район, Острогожская улица, 73а6 офис, 2 этаж","отходов I-IV классов опасности, ртутьсодержащие приборы: люминесцентные лампы, термометры, барометры, стройматериалы с асбестом, компоненты, содержащие таллий, полоний, плутоний, высокие концентрации свинца, соли мышьяка, отходы сельского хозяйства: навоз большинства животных, азотные минеральные удобрения, отходы от добычи нефти и газа: нефтяной битум, коксовая и угольная пыль, вскрышная порода, отходы производства продуктов питания: отходы по результатам копчения, мучная пыль, пыль от кофе, чая, какао, остатки производства текстильной промышленности: пыль от волокна, полиамидные нити и ткани, пух и перья, отработанные или бракованные аккумуляторы, блоки питания и батарейки, остатки нефтепродуктов, органические растворители, средства защиты растений (инсектициды и фунгициды), средства для очищения лица, тела, ухода за волосами в разнородной упаковке, пищевые ароматизаторы на масляной основе, моющие и чистящие средства для оборудования пищевой промышленности","Пн — Пт 09:00–16:00, Сб — Вс Выходной","8 (473) 236-74-14, 8 (473) 261-33-82, 8-960-131-42-90","ecoservicevrn.ru"
"Экологические технологии очистки","Воронеж","Коминтерновский район,?Текстильщиков, 7?11 офис; 1 этаж","утилизация отходов I - IV класса опасности,транспортирование отходов I - IV класса опасности, зачистка резервуаров от остатков нефтепродуктов, рекультивация грунта загрязненного нефтепродуктами, устранение ртутных загрязнений промышленных и социальных объектов, оборудования и жилых помещений, паспортизация отходов","Пн — Пт 08:00–17:00, Сб — Вс Выходной","8 (473) 239-66-49, 8 (473) 239-38-78","ecoservicevrn.ru"
"Собиратор","Воронеж","Ленинский район,Станкевича,д. 41","Одежда, книги,с увениры, батарейки, электроника, макулатура, бутылки, Дой-пак и пауч","Пн — Ср Выходной, Чт — Вс 12:00–20:00","8-930-420-10-00","ecoprostranstvo.com"
"Ящик добра","Воронеж","Советский район,Улица Героев Сибиряков, 65а","Пункт приема вещей для благотворительности","Ежедневно с 10:00 до 21:00","Телефон?","сайт не найден"
"Экодвор","Воронеж","Железнодорожный район,Минская, 63а цокольный этаж","Дой-пак и пауч, блистеры, батарейки, Бутылки: зелёные, коричневые, голубые, прозрачные объёмом до 5л, Флаконы (бутылочного типа) из-под напитков, моющих средств, косметики, соусов и т.п. зелёные, коричневые, голубые, прозрачные, БЕЛЫЙ МАТОВЫЙ ПЭТ (бутылки, флаконы), Упаковочную, тепличную (хозяйственную),Пупырчатую, Стрейч-плёнку, Пакеты с маркировкой 2HDPE/PEHD (тонкие, шуршащие) фасовочные, пакеты из супермаркетов, прозрачные и цветные, Пакеты, упаковочную плёнку с маркировкой 4LDPE/04PE-LD (плотные, тянутся), Флаконы ПНД,  Маркировка 2 HDPE (или 2, ПЭ, ПНД, PEND), чистые, без остатков средств, На дне имеется продольный шов, Алюминиевые банки из-под напитков, Упаковку из-под кормов для животных и консервов с  маркировкой 41 ALU не путать с жестяными (у тех маркировка Fe 40), Жестяные банки, крышки от консервации, от детского питания, напитков, Стеклянные банки и бутылки зелёного и коричневого цветов, прозрачные, Целые, объемом до 5 л. Можно сдавать ёмкости из-под лекарств, офисную бумагу, газеты, каталоги, журналы, листовки, брошюры, упаковку бумажную и картонную, блокноты (без пружины), конверты, книги без обложек, тетради и т.п., коробки от посылок, мебели, бытовой техники и т.п., Книги с обложками - увязанные или уложенные в коробки, пакеты, мешки, Архив - бумага в файлах, со скрепками), тары из-под яиц, подстаканники, лотки, ёмкости для рассады, вставки для упаковки хрупких товаров любых цветов, Упаковку Tetra Pak, Pure Pac, Tralin Pak, Комбибло и др. или при наличии маркировки 81, 82, 84, Кувшины Ecolean из-под молочной продукции, сока, Мобильные устройства: Кнопочные телефоны, планшеты, смартфоны, Компьютерную технику: моноблоки, ноутбуки, ноутбуки трансформеры, серверы, системные блоки, ультрабуки, Компьютерную технику (мониторы, блоки питания, принтеры, мыши, наушники), Моб.устройства, телефонию (зарядные устройства, портативные колонки, фитнес-браслеты), Аудио-видео технику (кинопроекторы, Blu-Ray, DVD, MP3-проигрыватели, магнитолы, телевизоры, пульты), Торговое эл.оборудование (кассовый аппарат, ручной сканер штрихкода, электронные весы), Эл. инструмент (УШМ, лобзики, перфораторы, циркулярные пилы,сварочные аппараты), Косметические приборы (электробритвы, фены, тонометры, эл.зубные щетки, ингаляторы), Бытовую технику (утюги, мультиварки и пылесосы, тостеры, блендеры, вентиляторы, швейные машины), Фото-видео (камеры, цифровые фотоаппараты, видеонаблюдение, экшн-камеры, провода, кабели) Авт.эл.приборы (GPS-навигаторы, автомагнитолы, радары, парктроники), Видеокарты, материнские платы, миксовые платы, Батарейки Не более 10 шт. от одного человека, чистую крафт-бумагу, пакеты, тубусы, втулки, текстиль: чистую, без запаха одежду, пластиковые карты в цельном или разрезанном виде","Пн — Вт Выходной,Ср — Вс 11:00–19:00","8-952-953-05-44","https://vk.com/ecodvor_vrn"
"Ecoplatform","Воронеж","Левобережный район,Воронеж-Южный Волгоградская, 48к","Пластиковые бутылки и алюминиевые банки","Круглосуточно","8-800-550-11-49","bonus.ecoplatform.ru"
"Ecoplatform","Воронеж","Вокзал, Воронеж-1 площадь Генерала Черняховского, 1","Пластиковые бутылки и алюминиевые банки","Круглосуточно","8-800-550-11-49","bonus.ecoplatform.ru"
"Ecoplatform","Воронеж","Ленинский район, ЖК Современник, Улица 9 Января, д. 68/2 к3.1 этаж","Пластиковые бутылки и алюминиевые банки","Круглосуточно","8-800-550-11-49","bonus.ecoplatform.ru"
"Гардероб добрых вещей","Воронеж","Железнодорожный район,Южная, 71","Одежда, сумки, обучь для благотворительности","Ежедневно с 10:00 до 21:00","8-920-441-40-81","https://vk.com/public211424066"
"Крышка-малышка","Воронеж","Советский район,Улица Героев Сибиряков, 79","пластиковые крышки от: пластиковых бутылок и бутылочек (например, воды, газированных напитков с дозатором или без, подсолнечного масла, молочных и кисломолочных продуктов, в т.ч. Иммунеле, некоторых непищевых жидкостей - стеклоомывателя в 5-литровых бутылках и т.п), тетра-паков (соков, йогуртов), дой-паков (например, от кетчупа, сгущенки), детского пюре типа: я сам, бытовой химии, например средство для мытья посуды,  любые другие крышечки с маркировкой в треугольнике «2», «02», HDPE","Понедельник 09:00–16:00,Вторник 09:00–20:00,Среда 09:00–16:00,Четверг 09:00–20:00, Пятница 09:00–16:00, Сб — Вс Выходной","8 (473) 222-01-52","https://vk.com/kryshka_malyshka_vrn"
"Крышка-малышка","Воронеж","Коминтерновский район, ?Парк Победы","пластиковые крышки от: пластиковых бутылок и бутылочек (например, воды, газированных напитков с дозатором или без, подсолнечного масла, молочных и кисломолочных продуктов, в т.ч. Иммунеле, некоторых непищевых жидкостей - стеклоомывателя в 5-литровых бутылках и т.п), тетра-паков (соков, йогуртов), дой-паков (например, от кетчупа, сгущенки), детского пюре типа: я сам, бытовой химии, например средство для мытья посуды,  любые другие крышечки с маркировкой в треугольнике «2», «02», HDPE","Круглосуточно","8 (473) 222-01-52","https://vk.com/kryshka_malyshka_vrn"
"Крышка-малышка","Воронеж","Шилово м-н, Советский район, ?ЖК Ласточкино?Острогожская улица, 170/3?","пластиковые крышки от: пластиковых бутылок и бутылочек (например, воды, газированных напитков с дозатором или без, подсолнечного масла, молочных и кисломолочных продуктов, в т.ч. Иммунеле, некоторых непищевых жидкостей - стеклоомывателя в 5-литровых бутылках и т.п), тетра-паков (соков, йогуртов), дой-паков (например, от кетчупа, сгущенки), детского пюре типа: я сам, бытовой химии, например средство для мытья посуды,  любые другие крышечки с маркировкой в треугольнике «2», «02», HDPE","Пн — Пт 08:00–20:00, Суббота 09:00–16:00, Воскресенье Выходной","8 (473) 222-01-52","https://vk.com/kryshka_malyshka_vrn"
"Пункт приема батареек","Воронеж","Ленинский район,Галерея Чижова?Кольцовская улица, 35?1 этаж; рядом с Do.Bro Coffee","Батарейки","Ежедневно с 10:00 до 22:00","Телефон не найден","сайт не найден"

